Text	POS Tag	Named Entity Label
For	ADP	
many	ADJ	
Americans	PROPN	NORP
,	PUNCT	
presidential	ADJ	
elections	NOUN	
essentially	ADV	
end	VERB	
when	SCONJ	
a	DET	
candidate	NOUN	
is	AUX	
declared	VERB	
the	DET	
winner	NOUN	
.	PUNCT	
		
This	DET	DATE
year	NOUN	DATE
,	PUNCT	
after	ADP	
several	ADJ	DATE
days	NOUN	DATE
of	ADP	
tense	ADJ	
waiting	NOUN	
and	CCONJ	
watching	VERB	
,	PUNCT	
The	DET	ORG
Associated	PROPN	ORG
Press	PROPN	ORG
called	VERB	
the	DET	
presidential	ADJ	
race	NOUN	
Saturday	PROPN	DATE
morning	NOUN	TIME
,	PUNCT	
declaring	VERB	
that	SCONJ	
former	ADJ	
Vice	PROPN	
President	PROPN	
Joe	PROPN	PERSON
Biden	PROPN	PERSON
will	AUX	
become	VERB	
the	DET	DATE
46th	ADJ	DATE
president	NOUN	
of	ADP	
the	DET	GPE
United	PROPN	GPE
States	PROPN	GPE
.	PUNCT	
		
"

"	SPACE	
He	PRON	
secured	VERB	
his	PRON	
win	NOUN	
with	ADP	
crucial	ADJ	
victories	NOUN	
in	ADP	
swing	NOUN	
states	NOUN	
such	ADJ	
as	ADP	
Wisconsin	PROPN	GPE
,	PUNCT	
Pennsylvania	PROPN	GPE
and	CCONJ	
Michigan	PROPN	GPE
.	PUNCT	
		
His	PRON	
running	NOUN	
mate	NOUN	
,	PUNCT	
Sen.	PROPN	
Kamala	PROPN	PERSON
Harris	PROPN	PERSON
of	ADP	
California	PROPN	GPE
,	PUNCT	
will	AUX	
make	VERB	
history	NOUN	
as	ADP	
the	DET	
first	ADJ	ORDINAL
Black	ADJ	
woman	NOUN	
and	CCONJ	
the	DET	
first	ADJ	ORDINAL
Asian	ADJ	NORP
American	ADJ	NORP
woman	NOUN	
to	PART	
be	AUX	
elected	VERB	
vice	NOUN	
president	NOUN	
.	PUNCT	
		
"

"	SPACE	
But	CCONJ	
the	DET	
journey	NOUN	
from	ADP	
candidate	NOUN	
to	ADP	
president	NOUN	
-	PUNCT	
elect	NOUN	
,	PUNCT	
and	CCONJ	
then	ADV	
president	NOUN	
,	PUNCT	
is	AUX	
not	PART	
quite	ADV	
complete	ADJ	
.	PUNCT	
		
There	PRON	
are	VERB	
still	ADV	
a	DET	
number	NOUN	
of	ADP	
important	ADJ	
steps	NOUN	
yet	ADV	
to	PART	
play	VERB	
out	ADP	
from	ADP	
November	PROPN	DATE
through	ADP	DATE
January	PROPN	DATE
.	PUNCT	
		
